key,en,zh,es,fr,de,ja,ko,ru,pt
app_title,Palette,色卡,Paleta,Palette,Palette,パレット,팔레트,Палитра,Paleta
app_title_suffix,Maker,大师,Maker,Créateur,Macher,メーカー,메이커,Мастер,Criador
edit_mode,Hide Grid,隐藏网格,Ocultar Cuadrícula,Masquer la Grille,Raster Ausblenden,グリッドを隠す,그리드 숨기기,Скрыть Сетку,Ocultar Grade
preview_mode,Show Grid,显示网格,Mostrar Cuadrícula,Afficher la Grille,Raster Anzeigen,グリッドを表示,그리드 표시,Показать Сетку,Mostrar Grade
hide_grid,Hide Grid Lines,隐藏网格线,Ocultar Líneas de Cuadrícula,Masquer les Lignes,Rasterlinien Ausblenden,グリッド線を隠す,그리드 선 숨기기,Скрыть Линии Сетки,Ocultar Linhas de Grade
show_grid,Show Grid Lines,显示网格线,Mostrar Líneas de Cuadrícula,Afficher les Lignes,Rasterlinien Anzeigen,グリッド線を表示,그리드 선 표시,Показать Линии Сетки,Mostrar Linhas de Grade
grid_settings,Grid Settings,网格设置,Configuración de Cuadrícula,Paramètres de Grille,Rastereinstellungen,グリッド設定,그리드 설정,Настройки Сетки,Configurações de Grade
clear_grid,Clear Grid,清空网格,Limpiar Cuadrícula,Effacer la Grille,Raster Löschen,グリッドをクリア,그리드 지우기,Очистить Сетку,Limpar Grade
view_source,View Source on GitHub,查看源码,Ver Código en GitHub,Voir Source sur GitHub,Quellcode auf GitHub Ansehen,GitHubでソースを見る,GitHub에서 소스 보기,Посмотреть код на GitHub,Ver Fonte no GitHub
texture_width,Texture Width (px),纹理宽度 (px),Ancho de Textura (px),Largeur de Texture (px),Texturbreite (px),テクスチャ幅 (px),텍스처 너비 (px),Ширина Текстуры (px),Largura da Textura (px)
texture_height,Texture Height (px),纹理高度 (px),Alto de Textura (px),Hauteur de Texture (px),Texturhöhe (px),テクスチャ高さ (px),텍스처 높이 (px),Высота Текстуры (px),Altura da Textura (px)
grid_cell_size,Grid Cell Size (px),网格大小 (px),Tamaño de Celda (px),Taille de Cellule (px),Rasterzellengröße (px),グリッドセルサイズ (px),그리드 셀 크기 (px),Размер Ячейки (px),Tamanho da Célula (px)
